Index,Title,Director,Director,Release Date,IMDb,IMDB Metascore,Rotten Tomatoes - Critics,Rotten Tomatoes - Audience,Letterboxd,CinemaScore,Budget,Domestic Gross,Worldwide Gross,Director
0,Iron Man,Jon Favreau,,2008-05-02,7.9,79,94,91,3.7,A,140.0,319.0,585.8,Jon Favreau
1,The Incredible Hulk,Louis Leterrier,,2008-06-13,6.6,61,68,69,2.5,A-,150.0,134.8,265.5,Louis Leterrier
2,Iron Man 2,Jon Favreau,,2010-05-07,6.9,57,72,71,2.9,A,200.0,312.4,623.9,Jon Favreau
3,Thor,Kenneth Branagh,,2011-05-06,7.0,57,77,76,2.8,B+,150.0,181.0,449.3,Kenneth Branagh
4,Captain America: The First Avenger,Joe Johnston,,2011-07-22,6.9,66,80,75,3.3,A-,215.0,176.7,370.6,Joe Johnston
5,The Avengers,Joss Whedon,,2012-05-04,8.0,69,91,91,3.7,A+,225.0,623.4,1521.0,Joss Whedon
6,Iron Man 3,Shane Black,,2013-05-03,7.1,62,79,78,3.0,A,200.0,409.0,1215.0,Shane Black
7,Thor: The Dark World,Alan Taylor,,2013-11-08,6.7,54,67,75,2.2,A-,272.0,206.4,644.8,Alan Taylor
8,Captain America: The Winter Soldier,Anthony Russo,Joe Russo,2014-04-04,7.7,70,90,92,3.7,A,177.0,259.8,714.4,"Anthony Russo, Joe Russo"
9,Guardians of the Galaxy,James Gunn,,2014-08-01,8.0,76,92,92,3.8,A,196.0,333.7,773.4,James Gunn
10,Avengers: Age of Ultron,Joss Whedon,,2015-05-01,7.3,66,76,82,3.1,A,365.0,459.0,1405.0,Joss Whedon
11,Ant-Man,Peyton Reed,,2015-07-17,7.2,64,83,85,3.2,A,169.0,180.2,519.3,Peyton Reed
12,Captain America: Civil War,Anthony Russo,Joe Russo,2016-05-06,7.8,75,90,89,3.6,A,250.0,408.1,1155.0,"Anthony Russo, Joe Russo"
13,Doctor Strange,Scott Derrickson,,2016-08-04,7.5,72,89,86,3.4,A,236.0,232.6,677.8,Scott Derrickson
14,Guardians of the Galaxy Vol. 2,James Gunn,,2017-05-05,7.6,67,85,87,3.5,A,200.0,389.8,869.0,James Gunn
15,Spider-Man: Homecoming,Jon Watts,,2017-07-07,7.4,73,92,87,3.5,A,175.0,334.2,880.9,Jon Watts
16,Thor: Ragnarok,Taika Waititi,,2017-11-03,7.9,74,93,87,3.7,A,180.0,316.0,865.0,Taika Waititi
17,Black Panther,Ryan Coogler,,2018-02-16,7.3,88,96,79,3.7,A+,200.0,700.4,1350.0,Ryan Coogler
18,Avengers: Infinity War,Anthony Russo,Joe Russo,2018-04-27,8.4,68,85,92,4.0,A,400.0,678.8,2052.0,"Anthony Russo, Joe Russo"
19,Ant-Man and the Wasp,Peyton Reed,,2018-07-06,7.0,70,87,79,2.9,A-,195.0,216.6,622.7,Peyton Reed
20,Captain Marvel,Anna Boden,Ryan Fleck,2019-03-08,6.8,64,79,45,2.7,A,175.0,426.8,1131.0,"Anna Boden, Ryan Fleck"
21,Avengers: Endgame,Anthony Russo,Joe Russo,2019-04-26,8.4,78,94,90,3.9,A+,400.0,858.4,2799.0,"Anthony Russo, Joe Russo"
22,Spider-Man: Far From Home,Jon Watts,,2019-07-02,7.4,69,91,95,3.4,A,160.0,391.3,1133.0,Jon Watts
23,Black Widow,Cate Shortland,,2021-07-09,6.6,68,79,91,2.9,A-,288.0,183.7,379.8,Cate Shortland
24,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,,2021-07-03,7.4,71,92,98,3.4,A,200.0,224.5,432.2,Destin Daniel Cretton
25,Eternals,Chloe Zhao,,2021-11-05,6.3,52,47,77,2.7,B,236.0,164.9,402.1,Chloe Zhao
26,Spider-Man: No Way Home,Jon Watts,,2021-12-17,8.2,71,93,98,3.8,A+,200.0,814.9,1952.0,Jon Watts
27,Doctor Strange in the Multiverse of Madness,Sam Raimi,,2022-05-06,6.9,60,74,85,2.9,B+,350.0,411.3,955.8,Sam Raimi
28,Thor: Love and Thunder,Taika Waititi,,2022-07-08,6.2,57,63,76,2.4,B+,250.0,343.3,760.9,Taika Waititi
29,Black Panther: Wakanda Forever,Ryan Coogler,,2022-11-11,6.7,67,84,94,3.3,A,250.0,453.8,859.2,Ryan Coogler
30,Ant-Man and the Wasp: Quantumania,Peyton Reed,,2023-02-17,5.5,48,46,82,2.2,B,330.0,214.5,476.1,Peyton Reed
31,Guardians of the Galazy Vol. 3,James Gunn,,2023-05-05,6.0,64,82,94,4.0,A,250.0,358.9,845.6,James Gunn
32,The Marvels,Nia DaCosta,,2023-11-10,7.9,50,62,81,2.6,B,219.8,84.5,206.1,Nia DaCosta
33,Deadpool & Wolverine,Shawn Levy,,2024-07-26,7.8,56,78,94,3.6,A,200.0,636.7,1338.0,Shawn Levy
